id,question_id,user_id,body
188352,263838,,"<p><img class=""fr-fic fr-dii"" style=""width: 20px;"" data-id=""123669"" data-name=""if_icons_mobile_1564515.png"" data-upload_url=""/uploads/123669"" src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123669/if_icons_mobile_1564515.png"">&nbsp;<strong>Device</strong></p><p><span class=""fr-video fr-fvc fr-dvb fr-draggable"" contenteditable=""false"" draggable=""true""><iframe src=""https://player.vimeo.com/video/139679318"" width=""640"" height=""470"" frameborder=""0"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" class=""fr-draggable""></iframe></span><br></p><p style=""text-align: justify;"">To start with, please install SnagR <img class=""fr-fic fr-dii"" style=""width: 16px;"" src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/120714/SnagR_app.png"" data-pin-nopin=""true"">&nbsp;from App Store or Play Store.</p><p style=""text-align: justify;"">To add projects on your device, be sure you have <strong>internet connectivity</strong>. Your project and account should already be set up before you can download the project.</p><p><br></p><p><img class=""fr-fic fr-dib"" src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/126896/Test.001.jpeg""></p><p><img class=""fr-fic fr-dib"" src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/126897/Test.002.jpeg""></p><p><br></p><p><img class=""fr-fic fr-dii"" style=""width: 20px;"" data-id=""127505"" data-name=""sparkles.png"" data-upload_url=""/uploads/127505"" src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127505/sparkles.png"">&nbsp; What&#39;s the QR code for?&nbsp;</p><p style=""text-align: justify;"">Scan the QR code printed on the welcome email. This <strong>automatically fills in the project URL</strong> and username for you. Simply type in your password to proceed.</p><p style=""text-align: justify;""><br></p><p><img class=""fr-fic fr-dib"" src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/126898/Test.003.jpeg""></p><p><br></p><p style=""text-align: justify;"">You are good to go! Click view plans and get started.&nbsp;</p><p style=""text-align: justify;""><br><img class=""fr-fic fr-dii fr-fil"" style=""width: 20px;"" src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127041/Red_Flag_Emoji.png"">&nbsp; Learn how to <a href=""/_questions/264206"" title="""">navigate to drawings</a>, and add <a href=""/_questions/264026"" title="""">issues</a> and <a href=""/_questions/264253"" title="""">forms</a> on mobile device.</p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;""><strong>Have Issues</strong><strong>?&nbsp;</strong>Click here to <a href=""/_questions/268292"" title="""">troubleshoot</a>.</p>"
188540,264026,,"<p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123669/if_icons_mobile_1564515.png"" style=""width: 18px;"" class=""fr-fic fr-dii"">&nbsp; <strong>Device</strong></p><p><br></p><p><strong><span class=""fr-video fr-fvc fr-dvb fr-draggable"" contenteditable=""false"" draggable=""true""><iframe src=""https://player.vimeo.com/video/108707758"" width=""640"" height=""470"" frameborder=""0"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" class=""fr-draggable""></iframe></span></strong></p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;"">First, be sure you are in <span style=""color: rgb(251, 160, 38);""><strong>issue mode</strong></span> in SnagR.</p><p style=""text-align: justify;"">You will then have to add an issue based on a <strong>location</strong>, e.g. living room. Your location icon looks like this - <img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/121217/location.png"" style=""width: 18px; height: 18px;"" class=""fr-fic fr-dii"">&nbsp;</p><p style=""text-align: justify;""><br></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127090/Issue_Mode_Device.001.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127091/Issue_Mode_Device.002.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127092/Issue_Mode_Device.003.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127093/Issue_Mode_Device.004.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127094/Issue_Mode_Device.005.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127505/sparkles.png"" data-upload_url=""/uploads/127505"" data-id=""127505"" data-name=""sparkles.png"" style=""width: 20px;"" class=""fr-fic fr-dii"">&nbsp; After completing your onsite work, don&#39;t forget to <a href=""/_questions/264204"" title="""">synchronise</a>. This backs up your data and updates your project team.&nbsp;</p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123693/if_ic_tv_48px_352186.png"" data-upload_url=""/uploads/123693"" data-id=""123693"" data-name=""if_ic_tv_48px_352186.png"" style=""width: 20px;"" class=""fr-fic fr-dii"">&nbsp; <strong>Website</strong></p><p style=""text-align: justify;"">The interface and process of creating issues at Plan Viewer runs entirely like the app.<br><br></p><p style=""text-align: justify;"">&nbsp;<img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123675/Website_Issue_Mode.002.jpeg"" class=""fr-fic fr-dii"" style=""width: 800px;""></p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127505/sparkles.png"" data-upload_url=""/uploads/127505"" data-id=""127505"" data-name=""sparkles.png"" style=""width: 20px;"" class=""fr-fic fr-dii"">&nbsp; This does not require synchronisation as you are already online.</p><p style=""text-align: justify;""><br></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127041/Red_Flag_Emoji.png"" class=""fr-fic fr-dii fr-fil"" style=""width: 20px;"">&nbsp; Learn how to <a href=""/_questions/264257"" title="""">search</a> and <a href=""/_questions/264230"" title="""">update</a> issues.</p>"
188716,264202,,""
188717,264203,,"<p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123669/if_icons_mobile_1564515.png"" data-upload_url=""/uploads/123669"" data-id=""123669"" data-name=""if_icons_mobile_1564515.png"" class=""fr-fic fr-dii"" style=""width: 20px;""> <strong>Device - iOS only<br></strong></p><p style=""text-align: justify;"">There are pros and cons to setting up auto sync. On the good side, auto-sync means your device / server gets more real time update. You also do not have to worry about forgetting to sync.&nbsp;</p><p style=""text-align: justify;"">However, once synchronised, only the administrator can delete (mistaken) issues.</p><p><br></p><p><br></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/direct/1560911482314-Getting%20Started_Device.001.jpeg"" style=""width: 394px;"" class=""fr-fic fr-dib""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/direct/1560911497171-Getting%20Started_Device.002.jpeg"" style=""width: 385px;"" class=""fr-fic fr-dib""></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/direct/1560911524178-Getting%20Started_Device.003.jpeg"" style=""width: 389px;"" class=""fr-fic fr-dib""></p>"
188718,264204,,"<p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123669/if_icons_mobile_1564515.png"" data-upload_url=""/uploads/123669"" data-id=""123669"" data-name=""if_icons_mobile_1564515.png"" class=""fr-fic fr-dii"" style=""width: 20px;""><strong>&nbsp;Device</strong></p><p><strong><span class=""fr-video fr-fvc fr-dvb fr-draggable"" contenteditable=""false"" draggable=""true""><iframe src=""https://player.vimeo.com/video/108713072"" width=""640"" height=""470"" frameborder=""0"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" class=""fr-draggable""></iframe></span></strong><br></p><p>Synchronization is a process that connects your device and the server via internet.</p><p style=""text-align: justify;"">Put simply, when you capture issues or fill out a form on your device, you do not necessarily need internet connection. Work offline, and synchronise when network is available.</p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127042/Getting_Started.004.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p><br></p><p style=""text-align: justify;"">It is important to synchronize each device regularly so that they are up to date. In general it is best to synchronize the device before it is taken out on site and then once more after work has been conducted and the user has returned to the site office.&nbsp;</p><p style=""text-align: justify;"">This process will ensure that work is carried out on the most up to date set of information and that it is then made available to other people wishing to access it. It also ensures that everything is backed up safely.&nbsp;</p><p style=""text-align: justify;""><br></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127041/Red_Flag_Emoji.png"" class=""fr-fic fr-dii fr-fil"" style=""width: 20px;"">&nbsp;Learn how to set up <a href=""/_questions/264203"" title="""">auto sync</a>.</p>"
188720,264206,,"<p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123669/if_icons_mobile_1564515.png"" data-upload_url=""/uploads/123669"" data-id=""123669"" data-name=""if_icons_mobile_1564515.png"" class=""fr-fic fr-dii"" style=""width: 20px;"">&nbsp;<strong>&nbsp;Device</strong></p><p><span class=""fr-video fr-fvc fr-dvb fr-draggable"" contenteditable=""false"" draggable=""true""><iframe src=""https://player.vimeo.com/video/108712068"" width=""640"" height=""470"" frameborder=""0"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" class=""fr-draggable""></iframe></span></p><p>There are three ways to navigate between drawings.</p><p><br></p><p><strong>1. Drill down links</strong></p><p style=""text-align: justify;"">Click on a drill down link <img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/121815/Android__7_.jpg"" class=""fr-fic fr-dii"" style=""width: 24px;"">&nbsp;and it will bring you to a relevant drawing</p><p><br></p><p><strong>2. Search by drawing titles</strong><br><br><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127054/Getting_Started.005.jpeg"" class=""fr-fic fr-dii""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127055/Getting_Started.006.jpeg"" class=""fr-fic fr-dii""><br><br></p><p><strong>3. Scan QR code</strong></p><p style=""text-align: justify;""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127505/sparkles.png"" data-upload_url=""/uploads/127505"" data-id=""127505"" data-name=""sparkles.png"" style=""width: 20px;"" class=""fr-fic fr-dii"">&nbsp; This requires your project admin to generate QR codes, print and place them onsite. &nbsp;</p><p style=""text-align: justify;""><span class=""fr-video fr-fvc fr-dvb fr-draggable"" contenteditable=""false"" draggable=""true""><iframe src=""https://player.vimeo.com/video/108708144"" width=""640"" height=""470"" frameborder=""0"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" class=""fr-draggable""></iframe></span><br></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127844/Getting_Started_Device.018.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127845/Getting_Started_Device.019.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127846/Getting_Started_Device.020.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127041/Red_Flag_Emoji.png"" class=""fr-fic fr-dii fr-fil"" style=""width: 20px;"">&nbsp;Learn how to add <a href=""/_questions/264026"" title="""">issues</a> and <a href=""/_questions/264253"" title="""">forms</a> to a drawing. &nbsp;</p><p style=""text-align: justify;""><br></p>"
188722,264208,,"<p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123669/if_icons_mobile_1564515.png"" data-upload_url=""/uploads/123669"" data-id=""123669"" data-name=""if_icons_mobile_1564515.png"" class=""fr-fic fr-dii"" style=""width: 20px;"">&nbsp;<strong>&nbsp;Device</strong></p><p style=""text-align: justify;"">There are two modes within SnagR: Issue Mode and Inspection Mode. Be sure you are switched to the correct mode to carry out the activities accordingly.</p><p><br></p><p><strong><span style=""color: rgb(251, 160, 38);"">Issue mode</span></strong>&nbsp;</p><p style=""text-align: justify;"">Issue mode is used for plotting location-based issues. By default each issue record includes a photo, issue description, contractor responsible, due date, etc.</p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127048/Getting_Started.007.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p style=""text-align: justify;""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127041/Red_Flag_Emoji.png"" data-upload_url=""/uploads/127041"" data-id=""127041"" data-name=""Red_Flag_Emoji.png"" style=""width: 20px;"" class=""fr-fic fr-dii fr-fil"">&nbsp;Learn how to <a href=""/_questions/264026"" title="""">add</a> and <a href=""/_questions/264230"" title="""">update</a> an issue.&nbsp;</p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;""><span style=""color: rgb(147, 101, 184);""><strong>Inspection Mode</strong></span>&nbsp;</p><p style=""text-align: justify;"">Inspection mode is used for submitting digital forms.</p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127049/Getting_Started.008.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p style=""text-align: justify;""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127041/Red_Flag_Emoji.png"" data-upload_url=""/uploads/127041"" data-id=""127041"" data-name=""Red_Flag_Emoji.png"" style=""width: 20px;"" class=""fr-fic fr-dii fr-fil"">&nbsp;Learn how to <a href=""/_questions/264253"" title="""">complete</a> and <a href=""/_questions/264255"" title="""">search</a> forms.</p><p style=""text-align: justify;""><br></p>"
188724,264210,,"<p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123669/if_icons_mobile_1564515.png"" style=""width: 18px;"" class=""fr-fic fr-dii"">&nbsp; <strong>Device</strong></p><p style=""text-align: justify;"">By default your device will <strong>not</strong> download documents that are uploaded to the document repository. If you want to access them offline, be sure to download them beforehand.&nbsp;</p><p style=""text-align: justify;"">When you tap to open a file for the first time, you will be downloading it given there is internet connection. Once downloaded they will stored on the device.</p><p style=""text-align: justify;"">&nbsp;</p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127050/Getting_Started.009.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127051/Getting_Started.010.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;"">If you or your admin has organised files into <a href=""/_questions/268887"" title=""""><strong>bundles</strong></a>, you can download multiple files in one go.&nbsp;</p><p style=""text-align: justify;"">Simply go to Bundles and click <strong>Download All</strong>.</p><p><br></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/129304/Getting_Started_Device.011.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p><br></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/123693/if_ic_tv_48px_352186.png"" data-upload_url=""/uploads/123693"" data-id=""123693"" data-name=""if_ic_tv_48px_352186.png"" class=""fr-fic fr-dii"" style=""width: 20px;"">&nbsp; <strong>Website</strong></p><p style=""text-align: justify;"">Select the file and click <strong>Download / Open file</strong>.</p><p style=""text-align: justify;"">&nbsp;<strong><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/129302/Website_Document.012.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></strong></p><p><br></p><p style=""text-align: justify;"">To download files in batch, <a href=""/_questions/268887"" title="""">drag files to bundles</a>, and tap the download icon at bundles.</p><p><br></p><p><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/129303/Website_Document.013.jpeg"" style=""width: truepx;"" class=""fr-fic fr-dib""></p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;""><img src=""https://static.helpjuice.com/helpjuice_production/uploads/upload/image/3577/127041/Red_Flag_Emoji.png"" data-upload_url=""/uploads/127041"" data-id=""127041"" data-name=""Red_Flag_Emoji.png"" style=""width: 20px;"" class=""fr-fic fr-dii fr-fil"">&nbsp; Learn how to view documents by locations, and to <a href=""/_questions/266210"" title="""">attach documents to forms</a>.</p>"
188726,264212,,""
188727,264213,,""
